station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,1.785861816197229e-05,2.2441529862241943e-05,9.038573604873573e-06
CFMN,40.832942,14.090403,92.0,-1.555874287646138e-05,8.72239273222268e-06,1.5191954751624891e-05
CMIS,40.778154,14.089047,134.0,1.2249464840027935e-06,-6.500817860761964e-06,1.7105476223104004e-06
CMSN,40.8382,14.1818,20.0,-1.0862994698081835e-05,-8.076540163402284e-06,-9.800491009717985e-09
CNIS,40.79817,14.163176,50.0,1.3789729398359799e-05,-1.1228757826147362e-05,6.713434435531301e-06
COLB,40.819016,14.144606,56.0,2.2634395381582574e-05,1.6367803399159456e-05,9.213548580532008e-06
CPIS,40.829224,14.146981,117.0,1.704504139593952e-05,1.702183166809922e-05,2.993317560340304e-06
CPOZ,40.821072,14.11911,52.0,-3.497794994401192e-05,-4.1579509054481866e-05,-2.4796729234001754e-05
CQUE,40.885355,14.155414,109.0,5.6857604146753415e-06,-4.120124449630354e-06,-5.616247426061264e-07
CSFT,40.829168,14.139635,151.0,1.8256485430720275e-05,2.0055986526404523e-05,4.655112554378346e-06
CSOB,40.826469,14.143963,223.0,1.8291672952845343e-05,1.964028633992126e-05,5.800797538672489e-06
CSTH,40.829447,14.149329,108.0,1.7376935198428265e-05,1.4236037689239097e-05,3.7993557429837828e-06
