station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,2.9084916948177204e-06,-4.1269786170911137e-07,-1.210331914631353e-06
CBAC,40.810901,14.08057,77.0,3.023307044061518e-06,7.727662592889557e-07,-1.7557120496066303e-06
CMIS,40.778154,14.089047,134.0,3.868895877497529e-07,1.342134422280539e-06,-3.1366536455455617e-07
CNIS,40.79817,14.163176,50.0,-2.225803626008163e-06,2.1936070091387465e-06,-1.2529766646556644e-06
COLB,40.819016,14.144606,56.0,2.7097102592467844e-06,-1.179344491587096e-06,-1.2740649550942873e-06
CPIS,40.829224,14.146981,117.0,2.757871556714863e-06,-1.1237223129701712e-06,-1.2888053000923156e-06
CPOZ,40.821072,14.11911,52.0,5.9915804368785054e-06,-3.340424387999609e-06,1.5166096489181778e-07
CQUE,40.885355,14.155414,109.0,-1.3355253163516274e-06,-1.6139641023056692e-08,9.866475250616073e-08
CSFT,40.829168,14.139635,151.0,-3.3227103261777667e-06,-8.191910384764997e-07,8.583782645932348e-07
CSOB,40.826469,14.143963,223.0,3.0212643195914137e-06,-8.16140148942335e-07,-1.4549646802196278e-06
CSTH,40.829447,14.149329,108.0,-7.063018468044196e-07,-1.2363407558973705e-06,-2.614133798827571e-06
